employee_id,platform,event,timestamp
E1015,AWS,Resource_Access,2026-05-28T15:16:44.261931
E1024,AWS,API_Call,2026-06-15T15:16:44.261952
E1172,Okta,Resource_Access,2026-06-09T15:16:44.261961
E1289,AWS,Login_Success,2026-05-28T15:16:44.261970
E1279,AD,Resource_Access,2026-06-01T15:16:44.261977
E1286,Okta,API_Call,2026-06-10T15:16:44.261985
E1021,AD,API_Call,2026-05-30T15:16:44.261992
E1205,AWS,Resource_Access,2026-06-01T15:16:44.261999
E1171,AD,Resource_Access,2026-06-09T15:16:44.262007
E1235,AD,API_Call,2026-06-01T15:16:44.262014
E1034,AWS,Login_Success,2026-06-18T15:16:44.262022
E1025,AWS,Login_Failed,2026-05-21T15:16:44.262030
E1201,AD,Resource_Access,2026-06-19T15:16:44.262038
E1216,AD,Login_Failed,2026-05-27T15:16:44.262045
E1101,AWS,Resource_Access,2026-05-21T15:16:44.262052
E1067,AD,Login_Failed,2026-05-30T15:16:44.262060
E1011,AWS,API_Call,2026-06-06T15:16:44.262070
E1036,Okta,Login_Failed,2026-06-04T15:16:44.262077
E1101,AWS,API_Call,2026-05-31T15:16:44.262084
E1254,AD,Login_Success,2026-06-20T15:16:44.262092
E1272,AWS,Resource_Access,2026-05-22T15:16:44.262100
E1167,AD,API_Call,2026-05-27T15:16:44.262107
E1027,Okta,Resource_Access,2026-06-14T15:16:44.262116
E1004,Okta,Resource_Access,2026-06-14T15:16:44.262124
E1267,AD,Login_Success,2026-06-06T15:16:44.262131
E1275,Okta,Resource_Access,2026-06-18T15:16:44.262138
E1277,Okta,API_Call,2026-05-29T15:16:44.262146
E1073,Okta,API_Call,2026-05-23T15:16:44.262154
E1028,AD,Login_Failed,2026-05-26T15:16:44.262162
E1048,Okta,Login_Failed,2026-06-17T15:16:44.262169
E1159,AD,Login_Failed,2026-05-26T15:16:44.262176
E1120,AD,API_Call,2026-06-03T15:16:44.262183
E1225,AWS,Resource_Access,2026-05-26T15:16:44.262190
E1276,AD,Login_Success,2026-06-18T15:16:44.262199
E1240,AWS,Resource_Access,2026-06-04T15:16:44.262207
E1039,AWS,Login_Success,2026-06-16T15:16:44.262214
E1037,Okta,Login_Success,2026-06-06T15:16:44.262222
E1118,Okta,API_Call,2026-06-16T15:16:44.262229
E1276,Okta,Login_Failed,2026-05-27T15:16:44.262237
